,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
81,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
82,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
83,Postgraduate,In couple,No child,No child,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
84,Postgraduate,Alone,No child,No child,High potential,Young,High income,New customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
85,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
86,Postgraduate,In couple,Has child,2 children,Need attention,Adult,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
87,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
88,Postgraduate,In couple,No child,No child,High potential,Adult,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
89,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
93,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
94,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Non consumer
95,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
96,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
97,Postgraduate,Alone,Has child,2 children,Leaky bucket,Adult,Medium to high income,Emerging customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
98,Undergraduate,In couple,No child,No child,High potential,Mature,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
99,Postgraduate,In couple,No child,No child,Leaky bucket,Adult,Low to medium income,Emerging customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
100,Undergraduate,Alone,Has child,1 child,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
101,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
102,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,Emerging customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
103,Postgraduate,In couple,No child,No child,Stars,Senior,Medium to high income,Emerging customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
104,Postgraduate,In couple,No child,No child,High potential,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
105,Undergraduate,In couple,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
106,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
107,Postgraduate,In couple,Has child,2 children,Stars,Adult,Medium to high income,Emerging customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
108,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
109,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
110,Postgraduate,In couple,Has child,1 child,High potential,Adult,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
111,Postgraduate,Alone,No child,No child,Stars,Young,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
112,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,New customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
113,Postgraduate,Alone,No child,No child,Stars,Young,High income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
114,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
115,Postgraduate,Alone,Has child,2 children,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
116,Postgraduate,In couple,No child,No child,High potential,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
117,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Emerging customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
118,Undergraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
119,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
120,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
121,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low income,New customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer
122,Postgraduate,In couple,Has child,2 children,Need attention,Young,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
123,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Non consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
124,Postgraduate,Alone,No child,No child,Stars,Adult,High income,Emerging customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
125,Undergraduate,In couple,No child,No child,Stars,Mature,High income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
126,Postgraduate,Alone,No child,No child,Stars,Young,High income,Emerging customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
127,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
129,Postgraduate,In couple,Has child,2 children,High potential,Mature,High income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
130,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
131,Postgraduate,Alone,Has child,2 children,Stars,Mature,Medium to high income,Emerging customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
132,Postgraduate,In couple,No child,No child,High potential,Adult,High income,New customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
134,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
135,Postgraduate,In couple,No child,No child,Stars,Mature,Medium to high income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
136,Undergraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Non consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
137,Postgraduate,In couple,Has child,3 children,Leaky bucket,Mature,Low income,Emerging customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
138,Postgraduate,Alone,Has child,2 children,Need attention,Adult,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
139,Postgraduate,Alone,Has child,2 children,Need attention,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
140,Postgraduate,Alone,No child,No child,Stars,Young,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
141,Postgraduate,In couple,Has child,1 child,High potential,Adult,Medium to high income,Discovering customers,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
142,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Emerging customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
143,Postgraduate,Alone,Has child,1 child,High potential,Adult,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
144,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
145,Postgraduate,In couple,Has child,2 children,Stars,Adult,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
146,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
147,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
148,Undergraduate,In couple,Has child,3 children,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
149,Postgraduate,In couple,No child,No child,Need attention,Mature,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
150,Postgraduate,In couple,Has child,2 children,High potential,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
151,Postgraduate,In couple,Has child,1 child,High potential,Adult,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
152,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
153,Postgraduate,Alone,Has child,1 child,Need attention,Young,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
154,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
155,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
156,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
157,Postgraduate,Alone,Has child,3 children,Need attention,Adult,Medium to high income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Non consumer
158,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
159,Postgraduate,Alone,No child,No child,High potential,Mature,High income,Discovering customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
160,Postgraduate,Alone,Has child,3 children,Leaky bucket,Mature,Low income,Emerging customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
161,Postgraduate,In couple,No child,No child,Stars,Senior,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
162,Postgraduate,In couple,Has child,1 child,Need attention,Young,Low income,New customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
163,Postgraduate,Alone,No child,No child,Stars,Adult,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
164,Postgraduate,In couple,Has child,1 child,High potential,Adult,High income,New customers,Low consumer,Low consumer,Biggest consumer,Low consumer,Low consumer,Low consumer
165,Postgraduate,In couple,Has child,3 children,Need attention,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
166,Postgraduate,Alone,No child,No child,High potential,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
167,Postgraduate,Alone,No child,No child,Need attention,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer
168,Postgraduate,Alone,No child,No child,High potential,Young,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
169,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
170,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
171,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
172,Postgraduate,In couple,Has child,2 children,Need attention,Adult,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
173,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
