,Age,Education,Marital_Status,Income,Spending,Seniority,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold,Cluster
21,35,Postgraduate,In couple,2447.0,1730,21.2,Has child,1 child,1,1,1725,1,1,1,Leaky bucket
22,65,Postgraduate,In couple,58607.0,972,21.666666666666668,Has child,1 child,867,0,86,0,0,19,Stars
23,60,Postgraduate,In couple,65324.0,544,8.866666666666667,Has child,1 child,384,0,102,21,32,5,High potential
24,63,Postgraduate,In couple,40689.0,444,18.833333333333332,Has child,1 child,270,3,27,39,6,99,Leaky bucket
25,45,Postgraduate,Alone,18589.0,75,21.333333333333332,No child,No child,6,4,25,15,12,13,Leaky bucket
26,38,Postgraduate,In couple,53359.0,257,16.5,Has child,2 children,173,4,30,3,6,41,Leaky bucket
28,25,Postgraduate,In couple,38360.0,131,16.366666666666667,Has child,1 child,36,2,42,20,21,10,Leaky bucket
29,49,Postgraduate,In couple,84618.0,1672,10.533333333333333,No child,No child,684,100,801,21,66,0,High potential
30,25,Postgraduate,Alone,10979.0,30,4.5,No child,No child,8,4,10,2,2,4,Need attention
31,51,Postgraduate,In couple,38620.0,318,17.033333333333335,No child,No child,112,17,44,34,22,89,Leaky bucket
32,44,Postgraduate,In couple,40548.0,120,24.133333333333333,Has child,1 child,110,0,5,2,0,3,Leaky bucket
33,62,Postgraduate,Alone,46610.0,302,23.5,Has child,2 children,96,12,96,33,22,43,Leaky bucket
34,68,Postgraduate,In couple,68657.0,1196,19.7,No child,No child,482,34,471,119,68,22,Stars
35,63,Postgraduate,Alone,49389.0,65,13.366666666666667,Has child,2 children,40,0,19,2,1,3,Need attention
36,44,Postgraduate,In couple,67353.0,913,9.233333333333333,Has child,1 child,702,17,151,0,8,35,High potential
37,38,Undergraduate,In couple,23718.0,81,13.233333333333333,Has child,1 child,6,3,14,15,7,36,Need attention
38,41,Postgraduate,Alone,42429.0,67,7.833333333333333,Has child,1 child,55,0,6,2,0,4,Need attention
39,71,Postgraduate,Alone,48948.0,902,20.333333333333332,No child,No child,437,8,206,160,49,42,Stars
40,34,Postgraduate,In couple,80011.0,1395,17.433333333333334,Has child,1 child,421,76,536,82,178,102,Stars
41,29,Postgraduate,In couple,20559.0,53,19.033333333333335,Has child,1 child,13,1,29,3,0,7,Leaky bucket
42,57,Postgraduate,In couple,21994.0,22,21.633333333333333,Has child,1 child,9,0,6,3,1,3,Leaky bucket
44,39,Postgraduate,In couple,7500.0,31,12.233333333333333,Has child,1 child,3,1,10,3,2,12,Need attention
45,38,Postgraduate,Alone,79941.0,984,3.2666666666666666,No child,No child,123,164,266,227,30,174,High potential
46,18,Undergraduate,In couple,7500.0,122,23.133333333333333,No child,No child,3,18,14,15,22,50,Leaky bucket
47,46,Postgraduate,In couple,41728.0,55,16.6,Has child,1 child,13,6,15,3,5,13,Leaky bucket
49,60,Postgraduate,In couple,72550.0,1319,23.166666666666668,Has child,2 children,826,50,317,50,38,38,Stars
50,57,Postgraduate,Alone,65486.0,507,4.833333333333333,Has child,1 child,245,19,125,37,67,14,High potential
51,50,Postgraduate,In couple,79143.0,1693,26.133333333333333,No child,No child,650,37,780,27,167,32,Stars
52,37,Postgraduate,Alone,35790.0,72,21.333333333333332,Has child,1 child,12,6,20,30,1,3,Leaky bucket
53,37,Postgraduate,Alone,82582.0,1617,3.966666666666667,No child,No child,510,120,550,156,40,241,High potential
54,36,Postgraduate,In couple,66373.0,606,15.966666666666667,Has child,2 children,328,9,124,12,24,109,Stars
55,59,Postgraduate,In couple,82384.0,1957,22.8,No child,No child,984,51,432,180,120,190,Stars
56,48,Postgraduate,Alone,70287.0,1093,18.333333333333332,No child,No child,295,35,482,121,120,40,Stars
57,26,Postgraduate,Alone,27938.0,29,5.3,Has child,1 child,13,0,8,2,1,5,Need attention
59,46,Postgraduate,In couple,55954.0,518,7.166666666666667,Has child,1 child,447,0,28,0,0,43,High potential
60,32,Postgraduate,Alone,75777.0,1438,15.233333333333333,No child,No child,712,26,538,69,13,80,Stars
61,39,Postgraduate,In couple,66653.0,612,25.233333333333334,Has child,2 children,452,18,102,16,18,6,Stars
62,62,Postgraduate,Alone,61823.0,884,19.766666666666666,Has child,1 child,523,7,134,37,14,169,Stars
63,63,Postgraduate,Alone,67680.0,606,16.0,Has child,1 child,546,0,48,0,6,6,Stars
64,66,Postgraduate,In couple,70666.0,1076,10.066666666666666,No child,No child,398,40,367,119,122,30,High potential
65,43,Postgraduate,In couple,25721.0,34,16.7,Has child,1 child,1,3,6,3,6,15,Leaky bucket
66,47,Postgraduate,In couple,32474.0,11,4.866666666666666,Has child,2 children,10,0,1,0,0,0,Need attention
67,35,Undergraduate,Alone,88194.0,1274,6.633333333333334,Has child,1 child,688,14,309,201,24,38,High potential
68,56,Postgraduate,In couple,69096.0,653,12.4,Has child,1 child,247,49,159,7,82,109,High potential
69,44,Postgraduate,In couple,74854.0,1562,18.133333333333333,Has child,3 children,856,59,487,58,29,73,Stars
70,60,Postgraduate,In couple,66991.0,1253,25.1,No child,No child,496,36,460,189,60,12,Stars
72,55,Postgraduate,In couple,65031.0,863,18.866666666666667,Has child,1 child,258,107,291,84,37,86,Stars
73,39,Postgraduate,In couple,60631.0,661,18.233333333333334,Has child,2 children,565,6,65,0,6,19,Stars
74,62,Postgraduate,In couple,28332.0,65,5.233333333333333,No child,No child,14,10,13,4,15,9,Need attention
75,37,Postgraduate,Alone,40246.0,13,21.8,Has child,1 child,2,1,6,2,1,1,Leaky bucket
76,42,Postgraduate,In couple,75251.0,1890,25.6,No child,No child,721,111,925,97,18,18,Stars
77,38,Postgraduate,Alone,75825.0,2209,24.066666666666666,No child,No child,1032,105,779,137,105,51,Stars
78,38,Undergraduate,In couple,26326.0,18,13.166666666666666,No child,No child,1,0,5,0,3,9,Need attention
79,49,Postgraduate,In couple,56046.0,692,21.333333333333332,No child,No child,577,0,64,0,0,51,Stars
80,29,Postgraduate,Alone,29760.0,165,25.533333333333335,Has child,1 child,64,4,68,7,5,17,Leaky bucket
81,45,Postgraduate,In couple,26304.0,16,15.6,Has child,1 child,4,1,5,2,0,4,Leaky bucket
82,41,Undergraduate,In couple,23559.0,79,15.266666666666667,Has child,1 child,25,5,19,7,0,23,Leaky bucket
83,51,Postgraduate,In couple,38620.0,318,17.033333333333335,No child,No child,112,17,44,34,22,89,Leaky bucket
84,27,Postgraduate,Alone,81361.0,778,7.366666666666666,No child,No child,163,23,424,27,65,76,High potential
85,54,Postgraduate,In couple,29440.0,56,13.966666666666667,Has child,2 children,17,8,14,10,4,3,Need attention
86,44,Postgraduate,In couple,36138.0,151,14.833333333333334,Has child,2 children,130,0,16,0,0,5,Need attention
87,57,Postgraduate,Alone,50388.0,372,4.3,Has child,1 child,292,6,37,0,3,34,Need attention
88,41,Postgraduate,In couple,79593.0,1366,4.833333333333333,No child,No child,350,60,568,110,133,145,High potential
89,47,Postgraduate,In couple,54178.0,194,8.533333333333333,Has child,1 child,135,9,39,4,0,7,Need attention
93,42,Postgraduate,Alone,42394.0,32,6.5,Has child,1 child,15,2,10,0,1,4,Need attention
94,44,Postgraduate,In couple,23626.0,43,4.433333333333334,Has child,1 child,27,2,14,0,0,0,Need attention
95,31,Postgraduate,In couple,30096.0,45,4.5,Has child,1 child,5,3,11,12,5,9,Need attention
96,54,Postgraduate,Alone,47916.0,606,22.7,Has child,1 child,505,0,26,0,0,75,Leaky bucket
97,42,Postgraduate,Alone,51813.0,63,18.033333333333335,Has child,2 children,51,2,7,0,1,2,Leaky bucket
98,63,Undergraduate,In couple,78497.0,978,10.233333333333333,No child,No child,207,26,447,75,0,223,High potential
99,31,Postgraduate,In couple,50150.0,410,15.7,No child,No child,135,46,92,65,61,11,Leaky bucket
100,54,Undergraduate,Alone,47823.0,72,14.6,Has child,1 child,53,1,5,2,1,10,Need attention
101,55,Postgraduate,Alone,34554.0,55,6.266666666666667,Has child,1 child,41,1,6,2,0,5,Need attention
102,35,Postgraduate,In couple,85693.0,1169,17.733333333333334,Has child,1 child,386,172,183,185,132,111,Stars
103,69,Postgraduate,In couple,65846.0,1120,16.833333333333332,No child,No child,562,81,276,80,40,81,Stars
104,55,Postgraduate,In couple,87195.0,1097,4.966666666666667,No child,No child,217,76,690,50,26,38,High potential
105,35,Undergraduate,In couple,24594.0,29,9.933333333333334,Has child,1 child,1,3,6,10,0,9,Need attention
106,50,Postgraduate,In couple,49096.0,187,12.5,Has child,2 children,144,1,32,2,1,7,Need attention
107,45,Postgraduate,In couple,52413.0,910,20.3,Has child,2 children,295,106,271,75,98,65,Stars
108,36,Postgraduate,Alone,38557.0,145,21.8,Has child,1 child,76,3,31,4,4,27,Leaky bucket
109,54,Postgraduate,In couple,89058.0,850,22.2,No child,No child,454,194,106,31,22,43,Stars
110,35,Postgraduate,In couple,77298.0,969,11.2,Has child,1 child,425,115,292,23,35,79,High potential
111,23,Postgraduate,Alone,68126.0,1820,23.1,No child,No child,1332,17,311,23,51,86,Stars
112,51,Postgraduate,In couple,57288.0,608,3.3666666666666667,Has child,1 child,527,0,21,0,0,60,High potential
113,23,Postgraduate,Alone,86037.0,730,21.333333333333332,No child,No child,490,44,125,29,20,22,Stars
114,34,Postgraduate,In couple,43974.0,551,22.033333333333335,Has child,1 child,378,0,101,0,0,72,Leaky bucket
115,52,Postgraduate,Alone,50785.0,114,12.966666666666667,Has child,2 children,64,1,21,0,1,27,Need attention
116,44,Postgraduate,In couple,90765.0,1724,8.433333333333334,No child,No child,547,99,812,151,82,33,High potential
117,36,Undergraduate,In couple,36550.0,577,19.733333333333334,Has child,1 child,47,90,94,123,103,120,Leaky bucket
118,47,Undergraduate,In couple,30753.0,81,15.0,Has child,2 children,12,5,25,0,9,30,Leaky bucket
119,45,Postgraduate,In couple,21918.0,33,10.8,Has child,1 child,1,6,7,11,5,3,Need attention
120,61,Postgraduate,In couple,56129.0,660,15.7,Has child,1 child,320,48,133,39,72,48,Stars
121,47,Postgraduate,Alone,32557.0,80,7.4,Has child,1 child,34,3,29,0,4,10,Need attention
122,29,Postgraduate,In couple,19510.0,30,13.166666666666666,Has child,2 children,9,0,7,3,4,7,Need attention
123,38,Postgraduate,Alone,30992.0,43,17.666666666666668,Has child,1 child,17,0,14,7,3,2,Leaky bucket
124,31,Postgraduate,Alone,101970.0,1135,19.033333333333335,No child,No child,722,27,102,44,72,168,Stars
125,49,Undergraduate,In couple,71488.0,559,19.766666666666666,No child,No child,162,33,124,40,28,172,Stars
126,30,Postgraduate,Alone,79607.0,1923,17.7,No child,No child,450,133,951,173,0,216,Stars
127,61,Postgraduate,In couple,54348.0,90,3.933333333333333,Has child,2 children,70,0,16,0,0,4,Need attention
129,58,Postgraduate,In couple,77376.0,661,4.9,Has child,2 children,492,19,110,16,12,12,High potential
130,62,Postgraduate,In couple,62998.0,463,12.3,Has child,1 child,120,58,73,65,89,58,High potential
131,56,Postgraduate,Alone,61331.0,632,19.1,Has child,2 children,534,5,47,0,5,41,Stars
132,45,Postgraduate,In couple,73448.0,725,7.866666666666666,No child,No child,236,106,189,23,41,130,High potential
134,50,Postgraduate,In couple,41551.0,279,13.866666666666667,Has child,2 children,220,0,33,3,0,23,Need attention
135,47,Postgraduate,In couple,62981.0,1482,18.866666666666667,No child,No child,796,14,590,38,44,0,Stars
136,38,Undergraduate,Alone,9548.0,29,26.233333333333334,Has child,1 child,0,1,3,10,6,9,Leaky bucket
137,55,Postgraduate,In couple,33762.0,106,15.133333333333333,Has child,3 children,53,1,34,2,0,16,Leaky bucket
138,41,Postgraduate,Alone,35860.0,49,4.6,Has child,2 children,15,0,8,4,2,20,Need attention
139,49,Postgraduate,Alone,36921.0,38,14.433333333333334,Has child,2 children,17,1,12,3,1,4,Need attention
140,22,Postgraduate,Alone,92859.0,2077,23.833333333333332,No child,No child,962,61,921,52,61,20,Stars
141,38,Postgraduate,In couple,65104.0,1053,10.8,Has child,1 child,738,0,232,13,20,50,High potential
142,52,Postgraduate,In couple,86111.0,1385,17.766666666666666,No child,No child,399,28,756,36,40,126,Stars
143,40,Postgraduate,Alone,68352.0,871,13.4,Has child,1 child,614,16,132,43,33,33,High potential
144,26,Postgraduate,In couple,41883.0,312,18.8,Has child,1 child,32,34,41,73,16,116,Leaky bucket
145,38,Postgraduate,In couple,59809.0,877,23.866666666666667,Has child,2 children,598,16,141,32,41,49,Stars
146,39,Postgraduate,In couple,23957.0,68,23.533333333333335,Has child,1 child,2,1,18,20,11,16,Leaky bucket
147,33,Postgraduate,In couple,38547.0,22,13.4,Has child,1 child,6,1,10,0,1,4,Need attention
148,41,Undergraduate,In couple,35688.0,211,25.766666666666666,Has child,3 children,73,3,90,12,1,32,Leaky bucket
149,48,Postgraduate,In couple,49605.0,127,3.5,No child,No child,42,16,29,12,20,8,Need attention
150,61,Postgraduate,In couple,59354.0,459,5.433333333333334,Has child,2 children,295,21,78,39,13,13,High potential
151,45,Postgraduate,In couple,65747.0,460,7.033333333333333,Has child,1 child,346,17,48,23,13,13,High potential
152,42,Undergraduate,In couple,46344.0,429,21.966666666666665,Has child,1 child,233,20,57,8,20,91,Leaky bucket
153,26,Postgraduate,Alone,34176.0,89,4.833333333333333,Has child,1 child,5,7,24,19,14,20,Need attention
154,62,Postgraduate,In couple,61010.0,1021,24.166666666666668,Has child,1 child,888,0,57,0,0,76,Stars
155,65,Postgraduate,In couple,69372.0,1381,19.733333333333334,No child,No child,997,26,269,34,13,42,Stars
156,56,Postgraduate,Alone,49967.0,306,15.1,Has child,1 child,212,6,69,4,12,3,Need attention
157,36,Postgraduate,Alone,60199.0,18,12.9,Has child,3 children,8,1,7,2,0,0,Need attention
158,37,Postgraduate,In couple,55375.0,162,11.733333333333333,Has child,1 child,42,11,57,10,28,14,Need attention
159,59,Postgraduate,Alone,80317.0,1231,13.666666666666666,No child,No child,536,11,387,149,91,57,High potential
160,56,Postgraduate,Alone,30523.0,13,15.333333333333334,Has child,3 children,5,0,3,0,0,5,Leaky bucket
161,69,Postgraduate,In couple,70356.0,1706,23.266666666666666,No child,No child,1349,16,249,43,16,33,Stars
162,30,Postgraduate,In couple,23228.0,121,9.066666666666666,Has child,1 child,53,3,49,7,4,5,Need attention
163,39,Postgraduate,Alone,74165.0,1293,17.366666666666667,No child,No child,1001,12,240,16,12,12,Stars
164,41,Postgraduate,In couple,157243.0,1608,7.233333333333333,Has child,1 child,20,2,1582,1,2,1,High potential
165,48,Postgraduate,In couple,43482.0,88,10.833333333333334,Has child,3 children,18,1,32,6,3,28,Need attention
166,61,Postgraduate,Alone,62551.0,421,10.666666666666666,No child,No child,125,16,98,134,21,27,High potential
167,55,Postgraduate,Alone,52332.0,259,13.4,No child,No child,212,5,33,7,0,2,Need attention
168,26,Postgraduate,Alone,66951.0,1117,11.2,No child,No child,277,162,305,173,76,124,High potential
169,57,Postgraduate,In couple,26091.0,89,7.366666666666666,Has child,2 children,15,10,19,8,17,20,Need attention
170,49,Postgraduate,In couple,33456.0,36,5.533333333333333,Has child,2 children,7,3,10,8,1,7,Need attention
171,32,Postgraduate,In couple,28718.0,57,14.933333333333334,Has child,1 child,12,4,6,11,8,16,Leaky bucket
172,44,Postgraduate,In couple,50447.0,148,5.533333333333333,Has child,2 children,85,7,24,2,3,27,Need attention
173,55,Postgraduate,In couple,53537.0,93,8.233333333333333,Has child,2 children,81,0,6,0,0,6,Need attention
174,47,Postgraduate,Alone,52074.0,119,6.1,Has child,1 child,59,0,12,0,0,48,Need attention
175,39,Postgraduate,In couple,80427.0,1835,25.066666666666666,Has child,1 child,1149,71,449,69,71,26,Stars
176,66,Postgraduate,In couple,83837.0,1318,21.9,No child,No child,847,66,119,86,89,111,Stars
177,44,Postgraduate,In couple,38853.0,45,4.466666666666667,Has child,2 children,29,0,14,0,0,2,Need attention
178,55,Postgraduate,In couple,38285.0,10,3.4,Has child,3 children,2,0,5,2,0,1,Need attention
179,63,Undergraduate,In couple,78497.0,978,10.233333333333333,No child,No child,207,26,447,75,0,223,High potential
180,38,Postgraduate,In couple,51650.0,191,4.866666666666666,Has child,1 child,152,3,22,2,5,7,Need attention
181,26,Undergraduate,In couple,16248.0,57,4.9,Has child,1 child,12,11,10,3,12,9,Need attention
182,68,Postgraduate,In couple,66835.0,1033,12.366666666666667,No child,No child,620,26,195,34,17,141,High potential
183,30,Postgraduate,In couple,30477.0,66,8.5,Has child,1 child,47,1,6,0,0,12,Need attention
184,53,Undergraduate,In couple,28249.0,43,3.7,No child,No child,1,9,7,2,14,10,Need attention
185,31,Postgraduate,In couple,25271.0,50,22.266666666666666,Has child,1 child,10,1,18,10,4,7,Leaky bucket
186,44,Postgraduate,Alone,32303.0,39,7.0,Has child,1 child,35,0,2,0,0,2,Need attention
187,48,Postgraduate,In couple,61286.0,608,14.266666666666667,Has child,1 child,356,0,107,19,9,117,High potential
188,38,Postgraduate,In couple,74068.0,1581,18.8,No child,No child,783,30,537,140,76,15,Stars
189,50,Postgraduate,In couple,45759.0,68,19.6,Has child,2 children,42,1,18,3,0,4,Leaky bucket
190,36,Undergraduate,In couple,24882.0,80,25.166666666666668,Has child,1 child,1,4,10,29,0,36,Leaky bucket
191,25,Postgraduate,In couple,66973.0,1282,16.833333333333332,No child,No child,466,22,432,147,113,102,Stars
192,114,Undergraduate,Alone,36640.0,65,12.433333333333334,Has child,1 child,15,6,8,7,4,25,Need attention
193,26,Postgraduate,In couple,38872.0,91,16.4,Has child,1 child,23,3,21,3,19,22,Leaky bucket
194,41,Postgraduate,In couple,51148.0,315,19.766666666666666,Has child,2 children,235,6,45,8,9,12,Leaky bucket
195,37,Postgraduate,In couple,31353.0,31,9.3,Has child,2 children,10,0,10,3,1,7,Need attention
196,34,Postgraduate,In couple,69661.0,834,4.8,No child,No child,656,16,106,32,16,8,High potential
197,60,Postgraduate,In couple,80067.0,1600,12.666666666666666,No child,No child,519,17,813,27,173,51,High potential
198,60,Postgraduate,In couple,86718.0,1270,20.833333333333332,No child,No child,344,189,482,50,33,172,Stars
199,41,Postgraduate,Alone,46854.0,263,6.233333333333333,Has child,2 children,96,1,79,7,1,79,Need attention
200,62,Postgraduate,Alone,69142.0,535,3.2333333333333334,Has child,1 child,448,4,34,6,4,39,High potential
201,46,Postgraduate,Alone,75922.0,1295,9.966666666666667,No child,No child,265,138,553,224,23,92,High potential
202,36,Postgraduate,Alone,63693.0,1150,11.833333333333334,Has child,1 child,587,43,337,42,87,54,High potential
203,37,Postgraduate,In couple,102160.0,1240,23.366666666666667,No child,No child,763,29,138,76,176,58,Stars
204,49,Postgraduate,Alone,40637.0,38,14.8,Has child,2 children,22,0,13,0,0,3,Need attention
205,30,Postgraduate,Alone,18890.0,35,23.1,No child,No child,6,4,1,7,2,15,Leaky bucket
206,26,Postgraduate,In couple,29604.0,53,10.0,Has child,1 child,7,6,13,7,6,14,Need attention
207,51,Postgraduate,Alone,48721.0,293,16.966666666666665,Has child,2 children,81,18,113,47,13,21,Leaky bucket
208,48,Postgraduate,In couple,44794.0,65,3.933333333333333,Has child,1 child,54,0,7,0,0,4,Need attention
209,60,Postgraduate,Alone,64497.0,1804,25.133333333333333,Has child,1 child,1170,48,320,42,32,192,Stars
210,58,Postgraduate,In couple,46097.0,241,18.4,Has child,1 child,72,24,68,65,4,8,Leaky bucket
211,60,Postgraduate,In couple,77972.0,1101,6.666666666666667,No child,No child,613,22,319,33,102,12,High potential
212,46,Postgraduate,In couple,44377.0,264,24.3,Has child,2 children,224,0,30,0,0,10,Leaky bucket
213,40,Postgraduate,In couple,46014.0,541,20.7,Has child,2 children,410,0,59,19,9,44,Leaky bucket
214,29,Postgraduate,In couple,70951.0,1198,17.266666666666666,No child,No child,239,10,554,254,87,54,Stars
215,37,Postgraduate,In couple,41443.0,482,6.2,Has child,1 child,171,7,171,25,19,89,Need attention
216,36,Undergraduate,Alone,52195.0,17,4.833333333333333,Has child,3 children,12,0,4,0,0,1,Need attention
217,66,Postgraduate,In couple,83790.0,1615,10.766666666666667,No child,No child,1076,16,417,42,48,16,High potential
218,60,Postgraduate,Alone,44551.0,285,13.3,Has child,1 child,182,4,33,0,0,66,Need attention
219,34,Postgraduate,In couple,69508.0,1135,22.966666666666665,Has child,1 child,824,32,162,42,32,43,Stars
220,26,Undergraduate,In couple,45204.0,114,5.866666666666666,Has child,1 child,30,11,25,29,1,18,Need attention
221,45,Postgraduate,In couple,72460.0,1047,10.8,No child,No child,377,10,540,80,30,10,High potential
222,44,Postgraduate,In couple,77622.0,714,5.766666666666667,Has child,2 children,520,7,154,19,0,14,High potential
223,34,Postgraduate,In couple,30732.0,185,21.233333333333334,Has child,1 child,155,1,25,0,1,3,Leaky bucket
224,52,Postgraduate,Alone,63887.0,1245,25.2,Has child,1 child,897,23,207,15,11,92,Stars
225,36,Postgraduate,In couple,42011.0,189,18.566666666666666,Has child,1 child,131,0,16,2,1,39,Leaky bucket
226,38,Postgraduate,In couple,51369.0,576,23.633333333333333,Has child,1 child,297,7,79,0,11,182,Leaky bucket
227,62,Postgraduate,Alone,51537.0,1103,22.133333333333333,Has child,1 child,787,20,204,0,0,92,Stars
228,42,Postgraduate,In couple,79930.0,1753,26.233333333333334,No child,No child,792,86,740,67,51,17,Stars
229,28,Postgraduate,In couple,34320.0,17,7.666666666666667,Has child,1 child,4,1,9,3,0,0,Need attention
230,48,Postgraduate,Alone,37070.0,433,18.766666666666666,Has child,2 children,231,7,137,4,15,39,Leaky bucket
231,52,Undergraduate,Alone,81975.0,1588,21.233333333333334,Has child,1 child,983,76,184,180,138,27,Stars
232,43,Postgraduate,In couple,38590.0,22,16.9,Has child,1 child,3,1,8,4,3,3,Leaky bucket
233,63,Postgraduate,Alone,15033.0,19,5.7,No child,No child,0,4,5,6,0,4,Need attention
234,49,Postgraduate,In couple,62745.0,1117,18.666666666666668,Has child,1 child,562,21,464,28,10,32,Stars
235,39,Undergraduate,In couple,22212.0,69,9.966666666666667,Has child,1 child,5,9,20,6,8,21,Need attention
236,32,Postgraduate,In couple,23661.0,23,10.133333333333333,Has child,1 child,18,0,4,0,0,1,Need attention
237,56,Postgraduate,Alone,79761.0,605,12.166666666666666,Has child,1 child,415,5,124,15,35,11,High potential
238,41,Postgraduate,Alone,7500.0,57,9.4,Has child,1 child,5,3,10,12,7,20,Need attention
239,121,Undergraduate,Alone,60182.0,22,4.666666666666667,Has child,1 child,8,0,5,7,0,2,Need attention
240,46,Postgraduate,Alone,73455.0,2088,11.366666666666667,No child,No child,901,61,757,186,163,20,High potential
241,56,Postgraduate,In couple,64961.0,1009,21.666666666666668,Has child,1 child,382,114,276,75,124,38,Stars
242,43,Postgraduate,Alone,22804.0,26,14.333333333333334,Has child,1 child,14,1,7,2,1,1,Need attention
243,24,Postgraduate,In couple,73687.0,1627,10.333333333333334,No child,No child,559,153,503,218,13,181,High potential
244,56,Postgraduate,In couple,61074.0,1102,25.933333333333334,Has child,1 child,789,0,133,0,28,152,Stars
245,50,Postgraduate,In couple,31686.0,17,4.033333333333333,Has child,2 children,11,0,5,0,0,1,Need attention
246,42,Postgraduate,In couple,80134.0,1690,16.733333333333334,Has child,1 child,1218,16,272,104,0,80,Stars
247,61,Postgraduate,In couple,75027.0,1390,21.1,Has child,1 child,925,64,179,133,12,77,Stars
248,26,Postgraduate,In couple,67546.0,2126,25.466666666666665,No child,No child,864,134,768,150,38,172,Stars
249,45,Postgraduate,In couple,65176.0,1531,23.5,Has child,1 child,960,28,183,220,70,70,Stars
250,39,Postgraduate,Alone,31160.0,64,12.766666666666667,Has child,1 child,16,3,25,6,1,13,Need attention
251,29,Postgraduate,Alone,29938.0,26,11.4,Has child,1 child,3,3,7,0,2,11,Need attention
252,40,Postgraduate,Alone,102692.0,1112,18.233333333333334,No child,No child,168,148,444,32,172,148,Stars
253,56,Undergraduate,In couple,26490.0,210,24.733333333333334,No child,No child,45,47,52,21,20,25,Leaky bucket
254,47,Postgraduate,In couple,75702.0,1148,25.533333333333335,Has child,2 children,650,28,353,45,42,30,Stars
255,40,Postgraduate,Alone,30899.0,33,24.033333333333335,Has child,1 child,24,0,8,0,0,1,Leaky bucket
256,53,Postgraduate,In couple,63342.0,1101,23.933333333333334,Has child,1 child,918,21,118,13,10,21,Stars
257,50,Postgraduate,Alone,45989.0,322,23.733333333333334,Has child,1 child,138,33,87,28,24,12,Leaky bucket
258,50,Postgraduate,Alone,18701.0,44,16.233333333333334,Has child,2 children,12,4,2,10,6,10,Leaky bucket
259,57,Postgraduate,Alone,40737.0,17,10.0,Has child,3 children,11,0,4,0,0,2,Need attention
260,35,Postgraduate,Alone,15287.0,31,24.133333333333333,Has child,1 child,1,2,8,4,3,13,Leaky bucket
261,46,Postgraduate,Alone,69674.0,845,16.666666666666668,Has child,2 children,554,41,215,11,0,24,Stars
262,44,Postgraduate,In couple,44159.0,275,3.6333333333333333,Has child,1 child,167,2,62,24,13,7,Need attention
263,36,Postgraduate,In couple,37717.0,25,22.666666666666668,Has child,1 child,9,0,6,4,1,5,Leaky bucket
264,62,Postgraduate,In couple,43776.0,275,20.266666666666666,Has child,2 children,177,2,71,3,2,20,Leaky bucket
265,48,Postgraduate,In couple,38179.0,90,18.966666666666665,Has child,2 children,38,4,22,4,2,20,Leaky bucket
266,51,Postgraduate,In couple,80124.0,1495,3.3333333333333335,No child,No child,483,84,398,205,84,241,High potential
267,44,Postgraduate,In couple,38097.0,184,23.966666666666665,Has child,2 children,77,2,35,0,1,69,Leaky bucket
